OG	Coleoptera	Diptera	Hymenoptera	Lepidoptera	Siphonaptera	coreColeoptera	coreDiptera	coreHymenoptera	coreLepidoptera	coreSiphonaptera	numOfOrths	orthsPerTaxon	uniqueTaxa
ORTHOMCL549	0	1	1	0	1	no	yes	yes	no	yes	49	1.20	41
ORTHOMCL550	1	0	1	1	1	yes	no	yes	yes	yes	108	2.16	50
ORTHOMCL551	1	1	1	1	1	yes	yes	yes	yes	yes	119	2.33	51
ORTHOMCL552	1	0	1	0	1	yes	no	yes	no	yes	88	1.80	49
ORTHOMCL553	1	1	1	0	1	yes	yes	yes	no	yes	139	2.78	50
ORTHOMCL554	1	0	1	1	1	yes	no	yes	yes	yes	105	2.14	49
ORTHOMCL555	1	1	1	0	1	yes	yes	yes	no	yes	124	2.48	50
ORTHOMCL557	1	0	1	0	1	yes	no	yes	no	yes	48	1.04	46
ORTHOMCL559	1	0	1	0	1	yes	no	yes	no	yes	55	1.12	49
ORTHOMCL560	1	1	1	1	1	yes	yes	yes	yes	yes	121	2.37	51
ORTHOMCL561	1	1	1	1	1	yes	yes	yes	yes	yes	85	1.67	51
ORTHOMCL562	1	1	1	0	1	yes	yes	yes	no	yes	108	2.16	50
ORTHOMCL563	1	1	1	1	1	yes	yes	yes	yes	yes	76	1.49	51
ORTHOMCL564	1	1	1	1	1	yes	yes	yes	yes	yes	106	2.08	51
ORTHOMCL565	1	1	1	0	1	yes	yes	yes	no	yes	83	1.73	48
ORTHOMCL566	1	1	1	1	1	yes	yes	yes	yes	yes	143	2.80	51
ORTHOMCL567	0	0	0	0	1	no	no	no	no	yes	63	1.43	44
ORTHOMCL568	1	0	1	0	1	yes	no	yes	no	yes	77	1.60	48
ORTHOMCL569	0	0	1	1	1	no	no	yes	yes	yes	89	1.82	49
ORTHOMCL570	1	1	1	1	1	yes	yes	yes	yes	yes	129	2.53	51
ORTHOMCL571	1	1	1	0	1	yes	yes	yes	no	yes	115	2.50	46
ORTHOMCL572	0	1	0	0	1	no	yes	no	no	yes	67	1.46	46
ORTHOMCL573	0	0	1	1	1	no	no	yes	yes	yes	42	1.14	37
ORTHOMCL574	1	0	1	0	1	yes	no	yes	no	yes	42	1.14	37
ORTHOMCL575	1	1	1	1	1	yes	yes	yes	yes	yes	118	2.31	51
ORTHOMCL576	0	0	0	0	1	no	no	no	no	yes	32	1.23	26
ORTHOMCL577	1	0	1	0	1	yes	no	yes	no	yes	45	1.22	37
ORTHOMCL579	1	0	1	0	1	yes	no	yes	no	yes	52	1.68	31
ORTHOMCL580	1	0	1	1	1	yes	no	yes	yes	yes	87	1.74	50
ORTHOMCL581	1	0	1	0	1	yes	no	yes	no	yes	124	2.53	49
ORTHOMCL583	1	0	0	1	1	yes	no	no	yes	yes	126	3.41	37
ORTHOMCL584	0	1	1	1	1	no	yes	yes	yes	yes	118	2.36	50
ORTHOMCL585	1	1	1	1	1	yes	yes	yes	yes	yes	95	1.86	51
ORTHOMCL586	1	0	0	0	1	yes	no	no	no	yes	38	1.15	33
ORTHOMCL587	0	0	1	0	1	no	no	yes	no	yes	130	3.61	36
ORTHOMCL588	1	1	1	1	1	yes	yes	yes	yes	yes	133	2.61	51
ORTHOMCL590	0	0	0	1	1	no	no	no	yes	yes	138	4.76	29
ORTHOMCL592	1	1	0	0	1	yes	yes	no	no	yes	71	1.48	48
ORTHOMCL593	0	0	1	1	1	no	no	yes	yes	yes	61	1.24	49
ORTHOMCL594	1	1	1	1	1	yes	yes	yes	yes	yes	71	1.39	51
ORTHOMCL595	1	0	1	1	1	yes	no	yes	yes	yes	89	1.78	50
ORTHOMCL596	0	1	1	0	1	no	yes	yes	no	yes	53	1.43	37
ORTHOMCL597	0	1	1	1	1	no	yes	yes	yes	yes	120	2.40	50
