spleen-down	liver-down
MSTRG.2201	MSTRG.9640
MSTRG.46955	MSTRG.40178
MSTRG.44334	MSTRG.28595
MSTRG.35722	MSTRG.31736
MSTRG.920	MSTRG.23121
MSTRG.29228	MSTRG.24885
MSTRG.26373	MSTRG.25182
MSTRG.52059	MSTRG.25503
MSTRG.35487	MSTRG.1763
MSTRG.34423	MSTRG.18626
MSTRG.16471	MSTRG.31374
MSTRG.20588	MSTRG.29366
MSTRG.48392	MSTRG.11473
MSTRG.54178	MSTRG.52331
MSTRG.32154	MSTRG.9643
MSTRG.54165	MSTRG.14207
MSTRG.49627	MSTRG.10279
MSTRG.44253	MSTRG.36877
MSTRG.28367	MSTRG.53368
MSTRG.35225	MSTRG.14576
MSTRG.38790	MSTRG.20628
MSTRG.21980	MSTRG.7646
MSTRG.25659	MSTRG.9153
MSTRG.52996	MSTRG.32318
MSTRG.12659	MSTRG.23423
MSTRG.37179	MSTRG.50802
MSTRG.49446	MSTRG.15366
MSTRG.8767	MSTRG.14420
MSTRG.18405	MSTRG.40314
MSTRG.30153	MSTRG.33181
MSTRG.54112	MSTRG.14125
MSTRG.45106	
MSTRG.38415	
MSTRG.52054	
MSTRG.21013	
MSTRG.43177	
MSTRG.7706	
MSTRG.32160	
MSTRG.22850	
MSTRG.53834	
MSTRG.48393	
MSTRG.41232	
MSTRG.7812	
MSTRG.11540	
MSTRG.9010	
MSTRG.49018	
MSTRG.41839	
MSTRG.23619	
MSTRG.30569	
MSTRG.45572	
MSTRG.52605	
MSTRG.13006	
MSTRG.617	
MSTRG.17372	
MSTRG.50083	
MSTRG.43179	
MSTRG.27052	
MSTRG.10766	
MSTRG.49801	
MSTRG.34974	
MSTRG.16312	
MSTRG.12306	
MSTRG.22457	
MSTRG.54514	
MSTRG.20512	
MSTRG.22744	
MSTRG.55431	
MSTRG.40354	
MSTRG.615	
MSTRG.34324	
MSTRG.51986	
MSTRG.18416	
MSTRG.20702	
MSTRG.10761	
MSTRG.40969	
MSTRG.11030	
MSTRG.8413	
MSTRG.42317	
MSTRG.32675	
MSTRG.35078	
MSTRG.32592	
MSTRG.45110	
MSTRG.40566	
MSTRG.48614	
MSTRG.39055	
MSTRG.10531	
MSTRG.47713	
MSTRG.22783	
MSTRG.2449	
MSTRG.1431	
MSTRG.41621	
MSTRG.4692	
MSTRG.298	
MSTRG.50277	
MSTRG.22896	
MSTRG.7553	
MSTRG.54145	
MSTRG.34298	
MSTRG.50273	
MSTRG.49098	
MSTRG.30616	
MSTRG.37455	
MSTRG.46572	
MSTRG.30568	
MSTRG.7144	
MSTRG.20019	
MSTRG.16248	
MSTRG.23647	
MSTRG.51745	
MSTRG.28448	
MSTRG.18889	
MSTRG.37762	
MSTRG.3833	
MSTRG.42978	
MSTRG.3566	
MSTRG.38383	
MSTRG.15652	
MSTRG.31369	
MSTRG.55972	
MSTRG.45635	
MSTRG.30139	
MSTRG.34705	
MSTRG.19113	
MSTRG.19212	
MSTRG.2002	
MSTRG.48936	
MSTRG.31826	
MSTRG.22794	
MSTRG.2846	
MSTRG.42721	
MSTRG.10360	
MSTRG.24206	
MSTRG.22779	
MSTRG.925	
MSTRG.10376	
MSTRG.32148	
MSTRG.54173	
MSTRG.42299	
MSTRG.44927	
MSTRG.43740	
MSTRG.16251	
MSTRG.52628	
MSTRG.30229	
MSTRG.26785	
MSTRG.11246	
MSTRG.20244	
MSTRG.45113	
MSTRG.50446	
MSTRG.49654	
MSTRG.53828	
MSTRG.40608	
MSTRG.6069	
MSTRG.51187	
MSTRG.27037	
MSTRG.22773	
MSTRG.10365	
MSTRG.17109	
MSTRG.31436	
MSTRG.20818	
MSTRG.38554	
MSTRG.25678	
MSTRG.24591	
MSTRG.33765	
MSTRG.9764	
MSTRG.34327	
MSTRG.3653	
MSTRG.16286	
MSTRG.26348	
MSTRG.34384	
MSTRG.44333	
MSTRG.11484	
MSTRG.44704	
MSTRG.32151	
MSTRG.49645	
MSTRG.52594	
MSTRG.5938	
MSTRG.48515	
MSTRG.24073	
MSTRG.34474	
MSTRG.20864	
MSTRG.39338	
MSTRG.20818	
MSTRG.27412	
MSTRG.38203	
MSTRG.4736	
MSTRG.31674	
MSTRG.14598	
MSTRG.2830	
MSTRG.10967	
MSTRG.53602	
MSTRG.30962	
MSTRG.45303	
MSTRG.28027	
MSTRG.19218	
MSTRG.1937	
MSTRG.38079	
MSTRG.14928	
MSTRG.911	
MSTRG.19078	
MSTRG.33942	
MSTRG.49384	
MSTRG.21562	
MSTRG.22791	
MSTRG.20700	
MSTRG.20478	
MSTRG.10107	
MSTRG.10974	
MSTRG.30611	
MSTRG.40887	
MSTRG.22147	
MSTRG.48568	
MSTRG.18934	
MSTRG.9211	
MSTRG.24920	
MSTRG.13874	
MSTRG.5410	
MSTRG.34269	
MSTRG.19330	
MSTRG.25539	
MSTRG.508	
MSTRG.42584	
MSTRG.1674	
MSTRG.17822	
MSTRG.27037	
MSTRG.29298	
MSTRG.54183	
MSTRG.54519	
MSTRG.7534	
MSTRG.2823	
MSTRG.2006	
MSTRG.54931	
MSTRG.43883	
MSTRG.32170	
MSTRG.28281	
MSTRG.2835	
MSTRG.53808	
MSTRG.3006	
MSTRG.43981	
MSTRG.47876	
MSTRG.8306	
MSTRG.7928	
MSTRG.324	
MSTRG.11741	
MSTRG.16563	
MSTRG.29132	
MSTRG.40206	
MSTRG.37419	
MSTRG.406	
MSTRG.29421	
MSTRG.13799	
MSTRG.39336	
MSTRG.45105	
MSTRG.10864	
MSTRG.38611	
MSTRG.54139	
MSTRG.32157	
MSTRG.35207	
MSTRG.37061	
MSTRG.29724	
MSTRG.25542	
MSTRG.19217	
MSTRG.30451	
MSTRG.30892	
MSTRG.44258	
MSTRG.916	
MSTRG.42776	
MSTRG.10889	
MSTRG.18557	
MSTRG.22777	
MSTRG.16881	
MSTRG.2295	
MSTRG.15666	
MSTRG.2116	
MSTRG.47256	
MSTRG.44647	
MSTRG.16582	
MSTRG.24805	
MSTRG.39335	
MSTRG.28450	
MSTRG.52055	
MSTRG.8744	
MSTRG.914	
MSTRG.30890	
MSTRG.30239	
MSTRG.44650	
MSTRG.2017	
MSTRG.52588	
MSTRG.22793	
MSTRG.4475	
MSTRG.3217	
MSTRG.30603	
MSTRG.38705	
MSTRG.22776	
MSTRG.17057	
MSTRG.10361	
MSTRG.15424	
MSTRG.18464	
MSTRG.38385	
MSTRG.14426	
MSTRG.40853	
