OG	Coleoptera	Diptera	Hymenoptera	Lepidoptera	Siphonaptera	coreColeoptera	coreDiptera	coreHymenoptera	coreLepidoptera	coreSiphonaptera	numOfOrths	orthsPerTaxon	uniqueTaxa
ORTHOMCL472	1	1	1	1	1	yes	yes	yes	yes	yes	25	0.49	51
ORTHOMCL473	1	1	1	1	1	yes	yes	yes	yes	yes	23	0.45	51
ORTHOMCL474	1	1	1	0	1	yes	yes	yes	no	yes	14	0.41	34
ORTHOMCL475	1	1	1	1	1	yes	yes	yes	yes	yes	19	0.37	51
ORTHOMCL476	1	1	1	1	1	yes	yes	yes	yes	yes	21	0.46	46
ORTHOMCL477	0	1	1	1	0	no	yes	yes	yes	no	17	0.45	38
ORTHOMCL478	1	1	1	1	1	yes	yes	yes	yes	yes	21	0.41	51
ORTHOMCL479	0	1	0	1	1	no	yes	no	yes	yes	18	0.50	36
ORTHOMCL480	1	1	1	0	1	yes	yes	yes	no	yes	15	0.42	36
ORTHOMCL481	1	1	1	1	1	yes	yes	yes	yes	yes	24	0.48	50
ORTHOMCL482	1	1	1	1	1	yes	yes	yes	yes	yes	20	0.41	49
ORTHOMCL483	1	1	1	1	1	yes	yes	yes	yes	yes	32	0.64	50
ORTHOMCL484	1	1	1	1	1	yes	yes	yes	yes	yes	16	0.33	49
ORTHOMCL485	1	1	1	1	1	yes	yes	yes	yes	yes	19	0.38	50
ORTHOMCL486	1	1	0	0	0	yes	yes	no	no	no	16	0.55	29
ORTHOMCL487	0	1	0	1	1	no	yes	no	yes	yes	5	0.22	23
ORTHOMCL488	1	1	1	1	1	yes	yes	yes	yes	yes	14	0.28	50
ORTHOMCL489	1	1	1	1	1	yes	yes	yes	yes	yes	18	0.38	48
ORTHOMCL490	1	1	1	1	1	yes	yes	yes	yes	yes	17	0.33	51
ORTHOMCL491	1	1	1	1	1	yes	yes	yes	yes	yes	28	0.56	50
ORTHOMCL492	1	1	1	0	1	yes	yes	yes	no	yes	16	0.42	38
ORTHOMCL493	1	1	1	1	1	yes	yes	yes	yes	yes	22	0.49	45
ORTHOMCL494	1	1	1	1	1	yes	yes	yes	yes	yes	19	0.38	50
ORTHOMCL495	1	1	1	1	1	yes	yes	yes	yes	yes	15	0.31	48
ORTHOMCL496	1	1	1	1	1	yes	yes	yes	yes	yes	27	0.55	49
ORTHOMCL497	1	1	1	1	0	yes	yes	yes	yes	no	18	0.39	46
ORTHOMCL498	1	1	1	1	1	yes	yes	yes	yes	yes	22	0.51	43
ORTHOMCL499	1	1	1	1	1	yes	yes	yes	yes	yes	20	0.39	51
ORTHOMCL500	1	0	1	1	1	yes	no	yes	yes	yes	21	0.68	31
ORTHOMCL501	1	1	0	1	1	yes	yes	no	yes	yes	22	0.50	44
ORTHOMCL502	1	1	1	1	1	yes	yes	yes	yes	yes	19	0.54	35
ORTHOMCL503	1	1	1	0	0	yes	yes	yes	no	no	34	1.31	26
ORTHOMCL504	1	1	1	1	1	yes	yes	yes	yes	yes	12	0.24	50
ORTHOMCL505	0	1	1	1	1	no	yes	yes	yes	yes	28	0.72	39
ORTHOMCL506	1	1	1	1	1	yes	yes	yes	yes	yes	28	0.76	37
ORTHOMCL507	1	1	1	1	1	yes	yes	yes	yes	yes	20	0.39	51
ORTHOMCL508	1	0	0	0	0	yes	no	no	no	no	2	0.25	8
ORTHOMCL509	1	1	1	1	1	yes	yes	yes	yes	yes	19	0.37	51
ORTHOMCL510	1	1	1	1	0	yes	yes	yes	yes	no	20	0.40	50
ORTHOMCL511	1	1	1	1	1	yes	yes	yes	yes	yes	18	0.35	51
ORTHOMCL512	1	1	0	1	1	yes	yes	no	yes	yes	23	0.50	46
ORTHOMCL513	1	1	1	1	1	yes	yes	yes	yes	yes	21	0.44	48
ORTHOMCL514	1	0	1	0	1	yes	no	yes	no	yes	18	0.82	22
ORTHOMCL515	1	1	1	1	1	yes	yes	yes	yes	yes	17	0.34	50
ORTHOMCL516	1	1	1	1	1	yes	yes	yes	yes	yes	17	0.35	49
ORTHOMCL517	0	0	0	1	0	no	no	no	yes	no	23	1.64	14
ORTHOMCL518	1	1	1	0	1	yes	yes	yes	no	yes	37	0.90	41
ORTHOMCL519	1	1	1	1	1	yes	yes	yes	yes	yes	19	0.37	51
ORTHOMCL520	1	1	1	1	0	yes	yes	yes	yes	no	20	0.48	42
ORTHOMCL521	1	1	1	1	1	yes	yes	yes	yes	yes	13	0.25	51
ORTHOMCL522	0	1	0	1	0	no	yes	no	yes	no	11	0.35	31
ORTHOMCL523	1	1	1	1	1	yes	yes	yes	yes	yes	22	0.59	37
ORTHOMCL524	1	1	1	1	1	yes	yes	yes	yes	yes	16	0.31	51
ORTHOMCL525	1	1	1	1	1	yes	yes	yes	yes	yes	22	0.58	38
ORTHOMCL526	1	1	1	1	1	yes	yes	yes	yes	yes	14	0.28	50
ORTHOMCL527	1	1	1	1	1	yes	yes	yes	yes	yes	21	0.46	46
ORTHOMCL528	1	1	1	1	1	yes	yes	yes	yes	yes	40	1.05	38
ORTHOMCL529	1	1	1	1	1	yes	yes	yes	yes	yes	20	0.40	50
ORTHOMCL530	1	1	0	1	1	yes	yes	no	yes	yes	13	0.36	36
ORTHOMCL531	0	0	1	0	1	no	no	yes	no	yes	9	0.35	26
ORTHOMCL532	1	1	1	1	1	yes	yes	yes	yes	yes	15	0.32	47
ORTHOMCL533	1	1	1	1	1	yes	yes	yes	yes	yes	15	0.29	51
ORTHOMCL534	1	0	1	1	1	yes	no	yes	yes	yes	16	0.39	41
ORTHOMCL535	1	0	1	0	1	yes	no	yes	no	yes	23	1.05	22
ORTHOMCL536	1	1	1	1	1	yes	yes	yes	yes	yes	19	0.40	47
ORTHOMCL537	1	0	1	1	1	yes	no	yes	yes	yes	12	0.29	41
ORTHOMCL538	1	1	1	1	1	yes	yes	yes	yes	yes	21	0.45	47
ORTHOMCL539	1	1	1	1	1	yes	yes	yes	yes	yes	13	0.25	51
ORTHOMCL540	1	0	1	1	0	yes	no	yes	yes	no	12	0.32	37
ORTHOMCL541	1	1	1	1	1	yes	yes	yes	yes	yes	19	0.37	51
ORTHOMCL542	1	1	1	1	1	yes	yes	yes	yes	yes	19	0.37	51
ORTHOMCL543	1	1	1	1	1	yes	yes	yes	yes	yes	16	0.32	50
ORTHOMCL544	1	1	1	1	1	yes	yes	yes	yes	yes	20	0.56	36
ORTHOMCL545	1	1	1	1	1	yes	yes	yes	yes	yes	10	0.20	49
ORTHOMCL546	1	1	1	1	1	yes	yes	yes	yes	yes	13	0.26	50
ORTHOMCL547	1	1	1	1	1	yes	yes	yes	yes	yes	22	0.45	49
ORTHOMCL548	1	0	1	0	0	yes	no	yes	no	no	14	0.52	27
ORTHOMCL549	1	1	1	1	1	yes	yes	yes	yes	yes	18	0.35	51
ORTHOMCL550	1	1	1	1	1	yes	yes	yes	yes	yes	15	0.30	50
ORTHOMCL551	0	1	1	1	1	no	yes	yes	yes	yes	10	0.24	41
ORTHOMCL552	1	1	1	1	1	yes	yes	yes	yes	yes	10	0.20	49
ORTHOMCL553	1	1	1	1	1	yes	yes	yes	yes	yes	12	0.24	50
ORTHOMCL554	1	1	1	1	0	yes	yes	yes	yes	no	21	0.42	50
ORTHOMCL555	1	1	1	1	1	yes	yes	yes	yes	yes	24	0.48	50
ORTHOMCL556	1	1	1	1	1	yes	yes	yes	yes	yes	19	0.38	50
ORTHOMCL557	1	1	1	1	1	yes	yes	yes	yes	yes	14	0.29	49
ORTHOMCL558	1	1	1	1	1	yes	yes	yes	yes	yes	18	0.39	46
ORTHOMCL559	1	1	1	1	0	yes	yes	yes	yes	no	25	0.62	40
ORTHOMCL560	1	1	1	1	1	yes	yes	yes	yes	yes	14	0.27	51
ORTHOMCL561	1	1	1	1	1	yes	yes	yes	yes	yes	21	0.41	51
