OG	Coleoptera	Diptera	Hymenoptera	Lepidoptera	Siphonaptera	coreColeoptera	coreDiptera	coreHymenoptera	coreLepidoptera	coreSiphonaptera	numOfOrths	orthsPerTaxon	uniqueTaxa
ORTHOMCL172	1	1	1	1	1	yes	yes	yes	no	yes	261	5.44	48
ORTHOMCL173	1	1	1	1	1	yes	no	yes	yes	yes	261	6.07	43
ORTHOMCL174	1	1	1	1	1	yes	no	yes	yes	yes	261	5.44	48
ORTHOMCL175	1	1	1	1	1	yes	no	yes	yes	yes	260	5.20	50
ORTHOMCL176	1	1	1	1	1	yes	no	yes	yes	yes	260	5.20	50
ORTHOMCL177	1	1	1	1	1	yes	yes	yes	yes	yes	258	5.06	51
ORTHOMCL178	1	1	1	1	1	yes	yes	yes	yes	yes	258	5.06	51
ORTHOMCL179	1	1	1	1	1	yes	yes	yes	yes	yes	256	5.02	51
ORTHOMCL180	1	1	1	1	1	yes	yes	yes	yes	yes	256	5.02	51
ORTHOMCL181	1	1	1	1	0	yes	no	no	no	no	255	6.38	40
ORTHOMCL182	1	1	1	1	1	yes	yes	yes	no	yes	255	5.10	50
ORTHOMCL183	1	1	1	1	1	yes	yes	yes	yes	yes	254	4.98	51
ORTHOMCL184	1	1	1	1	1	no	no	yes	no	yes	254	6.35	40
ORTHOMCL185	1	1	1	1	1	yes	no	yes	yes	yes	253	5.06	50
ORTHOMCL186	1	1	1	0	1	yes	yes	no	no	yes	252	7.41	34
ORTHOMCL187	1	1	1	1	1	yes	yes	yes	yes	yes	251	4.92	51
ORTHOMCL188	1	1	1	1	1	yes	yes	yes	yes	yes	251	4.92	51
ORTHOMCL189	1	1	1	1	1	no	no	yes	no	yes	251	5.98	42
ORTHOMCL190	1	1	1	1	1	no	yes	no	no	yes	248	5.51	45
ORTHOMCL191	1	1	1	1	1	yes	yes	yes	no	yes	247	5.04	49
ORTHOMCL192	1	1	1	1	0	yes	no	yes	no	no	247	6.02	41
ORTHOMCL193	1	1	1	1	1	yes	no	no	yes	yes	246	5.47	45
ORTHOMCL194	1	1	1	1	1	yes	yes	yes	yes	yes	245	4.80	51
ORTHOMCL195	1	1	1	1	1	no	no	yes	no	yes	244	5.81	42
ORTHOMCL196	1	1	1	1	1	yes	yes	yes	yes	yes	244	4.78	51
ORTHOMCL197	1	1	1	1	1	no	yes	yes	no	yes	244	4.98	49
ORTHOMCL198	1	1	1	1	1	yes	yes	yes	no	yes	244	4.88	50
ORTHOMCL199	1	1	1	1	1	no	yes	no	yes	yes	242	4.94	49
ORTHOMCL200	1	1	1	1	1	yes	no	yes	yes	yes	242	4.94	49
ORTHOMCL201	1	1	1	1	1	no	yes	yes	yes	yes	242	5.26	46
ORTHOMCL202	1	1	1	1	1	yes	no	yes	yes	yes	242	4.94	49
ORTHOMCL203	1	1	1	1	1	yes	no	no	yes	yes	241	5.60	43
ORTHOMCL204	1	1	0	1	0	no	no	no	yes	no	240	10.00	24
ORTHOMCL205	1	1	1	1	1	yes	yes	yes	yes	yes	240	4.71	51
ORTHOMCL206	1	1	1	1	1	yes	yes	yes	no	yes	240	4.80	50
ORTHOMCL207	1	1	1	1	1	no	yes	yes	yes	yes	239	4.78	50
ORTHOMCL208	1	1	1	1	1	no	yes	yes	no	yes	239	4.88	49
ORTHOMCL209	1	1	1	1	1	yes	yes	yes	yes	yes	238	4.67	51
